meccorsw002	10.5.47.133
mecusrsw001	10.5.47.134
mecusrsw002	10.5.47.135
mecusrsw003	10.5.47.136
mmefc-rt-1	10.63.231.1
mmefc-rt-2	10.63.231.50
mdcptlsw006	172.27.24.23
mcousrsw006	10.5.39.139
mcousrsw007	10.5.39.140
mdcptlsw007	172.27.24.24
mdcptlsw008	172.27.24.25
mdcptlsw009	172.27.24.26
mdcptlsw010	172.27.24.27
mdcptlsw011	172.27.24.28
mdcptlsw012	172.27.24.29
mdcusrsw001	172.27.24.9
mdcusrsw002	172.27.24.10
mdcusrsw1001	172.27.24.56
mdcusrsw1002	172.27.24.57
mdcusrsw101	172.27.24.11
calnxs7k001	10.1.253.20
calnxs7k002	10.1.253.21
calusrsw101	10.1.254.211
calusrsw102	10.1.254.212
calusrsw103	10.1.254.213
calusrsw104	10.1.254.214
calusrsw105	10.1.254.215
calusrsw107	10.1.254.217
calusrsw109	10.1.254.219
calusrsw201	10.1.254.221
calusrsw202	10.1.254.222
calusrsw203	10.1.254.223
calusrsw205	10.1.254.225
calusrsw206	10.1.254.226
calusrsw207	10.1.254.227
calusrsw301	10.1.254.231
calusrsw302	10.1.254.232
calusrsw303	10.1.254.233
calusrsw304	10.1.254.234
calusrsw305	10.1.254.235
calusrsw306	10.1.254.236
calusrsw401	10.1.254.241
calusrsw402	10.1.254.242
calusrsw403	10.1.254.243
calusrsw404	10.1.254.244
calusrsw405	10.1.254.245
calusrsw502	10.1.254.246
lvlusrsw009	10.7.100.19
lvlusrsw010	10.7.100.20
lvlusrsw011	10.7.100.21
mecusrsw004	10.5.47.137
mdcusrsw102	172.27.24.163
mdcusrsw201	172.27.24.12
mdcusrsw301	172.27.24.13
mdcusrsw302	172.27.24.59
mdcusrsw401	172.27.24.14
mdcusrsw402	172.27.24.58
mdcusrsw501	172.27.24.15
mdcusrsw502	172.27.24.55
mdcusrsw503	172.27.24.60
mdcusrsw801	172.27.24.16
mdcusrsw802	172.27.24.164
mdcusrsw901	172.27.24.17
mmefc-sw-1	10.63.231.55
mmefc-sw-2	10.63.231.56
mmefc-sw-3	10.63.231.57
mmefc-sw-4	10.63.231.58
mmefc-sw-5	10.63.231.59
mmefc-sw-6	10.63.231.60
fgl-wan-asr1002-1.ns.ctc	10.16.0.70
fgl-wan-asr1002-2.ns.ctc	10.16.0.72
ajbcabsw001	10.103.248.123
ajbcabsw002	10.103.248.124
ajbdrdmzsw01	10.101.248.40
ajbcorsw001	10.101.255.3
ajbcorsw002	10.101.255.4
ajbaggsw001	10.101.255.5
